,identifier,status_of_existing_account,duration_in_month,credit_his,purpose,credit_amt,saving_account,preset_emp,installment_rate,personal_status_and_sex,guarantors
434,434,A11,9,A32,A42,2136,A61,A73,3,A93,A101
435,435,A12,12,A32,A43,1484,A65,A73,2,A94,A101
436,436,A14,6,A32,A45,660,A63,A74,2,A94,A101
437,437,A14,24,A34,A40,1287,A64,A75,4,A92,A101
438,438,A11,42,A34,A45,3394,A61,A71,4,A93,A102
439,439,A13,12,A31,A49,609,A61,A72,4,A92,A101
440,440,A14,12,A32,A40,1884,A61,A75,4,A93,A101
441,441,A11,12,A32,A42,1620,A61,A73,2,A92,A102
442,442,A12,20,A33,A410,2629,A61,A73,2,A93,A101
443,443,A14,12,A32,A46,719,A61,A75,4,A93,A101
444,444,A12,48,A34,A42,5096,A61,A73,2,A92,A101
445,445,A14,9,A34,A46,1244,A65,A75,4,A92,A101
446,446,A11,36,A32,A40,1842,A61,A72,4,A92,A101
447,447,A12,7,A32,A43,2576,A61,A73,2,A93,A103
448,448,A13,12,A32,A42,1424,A65,A75,3,A92,A101
449,449,A12,15,A33,A45,1512,A64,A73,3,A94,A101
450,450,A14,36,A34,A41,11054,A65,A73,4,A93,A101
451,451,A14,6,A32,A43,518,A61,A73,3,A92,A101
452,452,A14,12,A30,A42,2759,A61,A75,2,A93,A101
453,453,A14,24,A32,A41,2670,A61,A75,4,A93,A101
454,454,A11,24,A32,A40,4817,A61,A74,2,A93,A102
455,455,A14,24,A32,A41,2679,A61,A72,4,A92,A101
456,456,A11,11,A34,A40,3905,A61,A73,2,A93,A101
457,457,A11,12,A32,A41,3386,A61,A75,3,A93,A101
458,458,A11,6,A32,A44,343,A61,A72,4,A92,A101
459,459,A14,18,A32,A43,4594,A61,A72,3,A93,A101
460,460,A11,36,A32,A42,3620,A61,A73,1,A93,A103
461,461,A11,15,A32,A40,1721,A61,A72,2,A93,A101
462,462,A12,12,A32,A42,3017,A61,A72,3,A92,A101
463,463,A12,12,A32,A48,754,A65,A75,4,A93,A101
464,464,A14,18,A32,A49,1950,A61,A74,4,A93,A101
465,465,A11,24,A32,A41,2924,A61,A73,3,A93,A103
466,466,A11,24,A33,A43,1659,A61,A72,4,A92,A101
467,467,A14,48,A33,A43,7238,A65,A75,3,A93,A101
468,468,A14,33,A33,A49,2764,A61,A73,2,A92,A101
469,469,A14,24,A33,A41,4679,A61,A74,3,A93,A101
470,470,A12,24,A32,A43,3092,A62,A72,3,A94,A101
471,471,A11,6,A32,A46,448,A61,A72,4,A92,A101
472,472,A11,9,A32,A40,654,A61,A73,4,A93,A101
473,473,A14,6,A32,A48,1238,A65,A71,4,A93,A101
474,474,A12,18,A34,A43,1245,A61,A73,4,A94,A101
475,475,A11,18,A30,A42,3114,A61,A72,1,A92,A101
476,476,A14,39,A32,A41,2569,A63,A73,4,A93,A101
477,477,A13,24,A32,A43,5152,A61,A74,4,A93,A101
478,478,A12,12,A32,A49,1037,A62,A74,3,A93,A101
479,479,A11,15,A34,A42,1478,A61,A75,4,A93,A101
480,480,A12,12,A34,A43,3573,A61,A73,1,A92,A101
481,481,A12,24,A32,A40,1201,A61,A72,4,A93,A101
482,482,A11,30,A32,A42,3622,A64,A75,4,A92,A101
483,483,A14,15,A33,A42,960,A64,A74,3,A92,A101
484,484,A14,12,A34,A40,1163,A63,A73,4,A93,A101
485,485,A12,6,A33,A40,1209,A61,A71,4,A93,A101
486,486,A14,12,A32,A43,3077,A61,A73,2,A93,A101
487,487,A14,24,A32,A40,3757,A61,A75,4,A92,A102
488,488,A14,10,A32,A40,1418,A62,A73,3,A93,A101
489,489,A14,6,A32,A40,3518,A61,A73,2,A93,A103
490,490,A14,12,A34,A43,1934,A61,A75,2,A93,A101
491,491,A12,27,A30,A49,8318,A61,A75,2,A92,A101
492,492,A14,6,A34,A43,1237,A62,A73,1,A92,A101
493,493,A12,6,A32,A43,368,A65,A75,4,A93,A101
494,494,A11,12,A34,A40,2122,A61,A73,3,A93,A101
495,495,A11,24,A32,A42,2996,A65,A73,2,A94,A101
496,496,A12,36,A32,A42,9034,A62,A72,4,A93,A102
497,497,A14,24,A34,A42,1585,A61,A74,4,A93,A101
498,498,A12,18,A32,A43,1301,A61,A75,4,A94,A103
499,499,A13,6,A34,A40,1323,A62,A75,2,A91,A101
500,500,A11,24,A32,A40,3123,A61,A72,4,A92,A101
501,501,A11,36,A32,A41,5493,A61,A75,2,A93,A101
502,502,A13,9,A32,A43,1126,A62,A75,2,A91,A101
503,503,A12,24,A34,A43,1216,A62,A72,4,A93,A101
504,504,A11,24,A32,A40,1207,A61,A72,4,A92,A101
505,505,A14,10,A32,A40,1309,A65,A73,4,A93,A103
506,506,A13,15,A34,A41,2360,A63,A73,2,A93,A101
507,507,A12,15,A31,A40,6850,A62,A71,1,A93,A101
508,508,A14,24,A32,A43,1413,A61,A73,4,A94,A101
509,509,A14,39,A32,A41,8588,A62,A75,4,A93,A101
510,510,A11,12,A32,A40,759,A61,A74,4,A93,A101
511,511,A14,36,A32,A41,4686,A61,A73,2,A93,A101
512,512,A13,15,A32,A49,2687,A61,A74,2,A93,A101
513,513,A12,12,A33,A43,585,A61,A73,4,A94,A102
514,514,A14,24,A32,A40,2255,A65,A72,4,A93,A101
515,515,A11,6,A34,A40,609,A61,A74,4,A92,A101
516,516,A11,6,A34,A40,1361,A61,A72,2,A93,A101
517,517,A14,36,A34,A42,7127,A61,A72,2,A92,A101
518,518,A11,6,A32,A40,1203,A62,A75,3,A93,A101
519,519,A14,6,A34,A43,700,A65,A75,4,A93,A101
520,520,A14,24,A34,A45,5507,A61,A75,3,A93,A101
521,521,A11,18,A32,A43,3190,A61,A73,2,A92,A101
522,522,A11,48,A30,A42,7119,A61,A73,3,A93,A101
523,523,A14,24,A32,A41,3488,A62,A74,3,A92,A101
524,524,A12,18,A32,A43,1113,A61,A73,4,A92,A103
525,525,A12,26,A32,A41,7966,A61,A72,2,A93,A101
526,526,A14,15,A34,A46,1532,A62,A73,4,A92,A101
527,527,A14,4,A34,A43,1503,A61,A74,2,A93,A101
528,528,A11,36,A32,A43,2302,A61,A73,4,A91,A101
529,529,A11,6,A32,A40,662,A61,A72,3,A93,A101
530,530,A12,36,A32,A46,2273,A61,A74,3,A93,A101
531,531,A12,15,A32,A40,2631,A62,A73,2,A92,A101
532,532,A14,12,A33,A41,1503,A61,A73,4,A94,A101
533,533,A14,24,A32,A43,1311,A62,A74,4,A94,A101
534,534,A14,24,A32,A43,3105,A65,A72,4,A93,A101
535,535,A13,21,A34,A46,2319,A61,A72,2,A91,A101
536,536,A11,6,A32,A40,1374,A65,A71,4,A92,A101
537,537,A12,18,A34,A42,3612,A61,A75,3,A92,A101
538,538,A11,48,A32,A40,7763,A61,A75,4,A93,A101
539,539,A13,18,A32,A42,3049,A61,A72,1,A92,A101
540,540,A12,12,A32,A43,1534,A61,A72,1,A94,A101
541,541,A14,24,A33,A40,2032,A61,A75,4,A93,A101
542,542,A11,30,A32,A42,6350,A65,A75,4,A93,A101
543,543,A13,18,A32,A42,2864,A61,A73,2,A93,A101
544,544,A14,12,A34,A40,1255,A61,A75,4,A93,A101
545,545,A11,24,A33,A40,1333,A61,A71,4,A93,A101
546,546,A14,24,A34,A40,2022,A61,A73,4,A92,A101
547,547,A14,24,A32,A43,1552,A61,A74,3,A93,A101
548,548,A11,12,A31,A43,626,A61,A73,4,A92,A101
549,549,A14,48,A34,A41,8858,A65,A74,2,A93,A101
550,550,A14,12,A34,A45,996,A65,A74,4,A92,A101
551,551,A14,6,A31,A43,1750,A63,A75,2,A93,A101
552,552,A11,48,A32,A43,6999,A61,A74,1,A94,A103
553,553,A12,12,A34,A40,1995,A62,A72,4,A93,A101
554,554,A12,9,A32,A46,1199,A61,A74,4,A92,A101
555,555,A12,12,A32,A43,1331,A61,A72,2,A93,A101
556,556,A12,18,A30,A40,2278,A62,A72,3,A92,A101
557,557,A14,21,A30,A40,5003,A65,A73,1,A92,A101
558,558,A11,24,A31,A42,3552,A61,A74,3,A93,A101
559,559,A12,18,A34,A42,1928,A61,A72,2,A93,A101
560,560,A11,24,A32,A41,2964,A65,A75,4,A93,A101
561,561,A11,24,A31,A43,1546,A61,A74,4,A93,A103
562,562,A13,6,A33,A43,683,A61,A72,2,A92,A101
563,563,A12,36,A32,A40,12389,A65,A73,1,A93,A101
564,564,A12,24,A33,A49,4712,A65,A73,4,A93,A101
565,565,A12,24,A33,A43,1553,A62,A74,3,A92,A101
566,566,A11,12,A32,A40,1372,A61,A74,2,A91,A101
567,567,A14,24,A34,A43,2578,A64,A75,2,A93,A101
568,568,A12,48,A32,A43,3979,A65,A74,4,A93,A101
569,569,A11,48,A32,A43,6758,A61,A73,3,A92,A101
570,570,A11,24,A32,A42,3234,A61,A72,4,A92,A101
571,571,A14,30,A34,A43,5954,A61,A74,3,A93,A102
572,572,A14,24,A32,A41,5433,A65,A71,2,A92,A101
573,573,A11,15,A32,A49,806,A61,A73,4,A92,A101
574,574,A12,9,A32,A43,1082,A61,A75,4,A93,A101
575,575,A14,15,A34,A42,2788,A61,A74,2,A92,A102
576,576,A12,12,A32,A43,2930,A61,A74,2,A92,A101
577,577,A14,24,A34,A46,1927,A65,A73,3,A92,A101
578,578,A12,36,A34,A40,2820,A61,A72,4,A91,A101
579,579,A14,24,A32,A48,937,A61,A72,4,A94,A101
580,580,A12,18,A34,A40,1056,A61,A75,3,A93,A103
581,581,A12,12,A34,A40,3124,A61,A72,1,A93,A101
582,582,A14,9,A32,A42,1388,A61,A73,4,A92,A101
583,583,A12,36,A32,A45,2384,A61,A72,4,A93,A101
584,584,A14,12,A32,A40,2133,A65,A75,4,A92,A101
585,585,A11,18,A32,A42,2039,A61,A73,1,A92,A101
586,586,A11,9,A34,A40,2799,A61,A73,2,A93,A101
587,587,A11,12,A32,A42,1289,A61,A73,4,A93,A103
588,588,A11,18,A32,A44,1217,A61,A73,4,A94,A101
589,589,A11,12,A34,A42,2246,A61,A75,3,A93,A101
590,590,A11,12,A34,A43,385,A61,A74,4,A92,A101
591,591,A12,24,A33,A40,1965,A65,A73,4,A92,A101
592,592,A14,21,A32,A49,1572,A64,A75,4,A92,A101
593,593,A12,24,A32,A40,2718,A61,A73,3,A92,A101
594,594,A11,24,A31,A410,1358,A65,A75,4,A93,A101
595,595,A12,6,A31,A40,931,A62,A72,1,A92,A101
596,596,A11,24,A32,A40,1442,A61,A74,4,A92,A101
597,597,A12,24,A30,A49,4241,A61,A73,1,A93,A101
598,598,A14,18,A34,A40,2775,A61,A74,2,A93,A101
599,599,A14,24,A33,A49,3863,A61,A73,1,A93,A101
600,600,A12,7,A32,A43,2329,A61,A72,1,A92,A103
601,601,A12,9,A32,A42,918,A61,A73,4,A92,A101
602,602,A12,24,A31,A46,1837,A61,A74,4,A92,A101
603,603,A14,36,A32,A42,3349,A61,A73,4,A92,A101
604,604,A13,10,A32,A42,1275,A61,A72,4,A92,A101
605,605,A11,24,A31,A42,2828,A63,A73,4,A93,A101
606,606,A14,24,A34,A49,4526,A61,A73,3,A93,A101
607,607,A12,36,A32,A43,2671,A62,A73,4,A92,A102
608,608,A14,18,A32,A43,2051,A61,A72,4,A93,A101
609,609,A14,15,A32,A41,1300,A65,A75,4,A93,A101
610,610,A11,12,A32,A44,741,A62,A71,4,A92,A101
611,611,A13,10,A32,A40,1240,A62,A75,1,A92,A101
612,612,A11,21,A32,A43,3357,A64,A72,4,A92,A101
613,613,A11,24,A31,A41,3632,A61,A73,1,A92,A103
614,614,A14,18,A33,A42,1808,A61,A74,4,A92,A101
615,615,A12,48,A30,A49,12204,A65,A73,2,A93,A101
616,616,A12,60,A33,A43,9157,A65,A73,2,A93,A101
617,617,A11,6,A34,A40,3676,A61,A73,1,A93,A101
618,618,A12,30,A32,A42,3441,A62,A73,2,A92,A102
619,619,A14,12,A32,A40,640,A61,A73,4,A91,A101
620,620,A12,21,A34,A49,3652,A61,A74,2,A93,A101
621,621,A14,18,A34,A40,1530,A61,A73,3,A93,A101
622,622,A14,48,A32,A49,3914,A65,A73,4,A91,A101
623,623,A11,12,A32,A42,1858,A61,A72,4,A92,A101
624,624,A11,18,A32,A43,2600,A61,A73,4,A93,A101
625,625,A14,15,A32,A43,1979,A65,A75,4,A93,A101
626,626,A13,6,A32,A42,2116,A61,A73,2,A93,A101
627,627,A12,9,A31,A40,1437,A62,A74,2,A93,A101
628,628,A14,42,A34,A42,4042,A63,A73,4,A93,A101
629,629,A14,9,A32,A46,3832,A65,A75,1,A93,A101
630,630,A11,24,A32,A43,3660,A61,A73,2,A92,A101
631,631,A11,18,A31,A42,1553,A61,A73,4,A93,A101
632,632,A12,15,A32,A43,1444,A65,A72,4,A93,A101
633,633,A14,9,A32,A42,1980,A61,A72,2,A92,A102
634,634,A12,24,A32,A40,1355,A61,A72,3,A92,A101
635,635,A14,12,A32,A46,1393,A61,A75,4,A93,A101
636,636,A14,24,A32,A43,1376,A63,A74,4,A92,A101
637,637,A14,60,A33,A43,15653,A61,A74,2,A93,A101
638,638,A14,12,A32,A43,1493,A61,A72,4,A92,A101
639,639,A11,42,A33,A43,4370,A61,A74,3,A93,A101
640,640,A11,18,A32,A46,750,A61,A71,4,A92,A101
641,641,A12,15,A32,A45,1308,A61,A75,4,A93,A101
642,642,A14,15,A32,A46,4623,A62,A73,3,A93,A101
643,643,A14,24,A34,A43,1851,A61,A74,4,A94,A103
644,644,A11,18,A34,A43,1880,A61,A74,4,A94,A101
645,645,A14,36,A33,A49,7980,A65,A72,4,A93,A101
646,646,A11,30,A30,A42,4583,A61,A73,2,A91,A103
647,647,A14,12,A32,A40,1386,A63,A73,2,A92,A101
648,648,A13,24,A32,A40,947,A61,A74,4,A93,A101
649,649,A11,12,A32,A46,684,A61,A73,4,A93,A101
650,650,A11,48,A32,A46,7476,A61,A74,4,A93,A101
651,651,A12,12,A32,A42,1922,A61,A73,4,A93,A101
652,652,A11,24,A32,A40,2303,A61,A75,4,A93,A102
653,653,A12,36,A33,A40,8086,A62,A75,2,A93,A101
654,654,A14,24,A34,A41,2346,A61,A74,4,A93,A101
655,655,A11,14,A32,A40,3973,A61,A71,1,A93,A101
656,656,A12,12,A32,A40,888,A61,A75,4,A93,A101
657,657,A14,48,A32,A43,10222,A65,A74,4,A93,A101
658,658,A12,30,A30,A49,4221,A61,A73,2,A92,A101
659,659,A12,18,A34,A42,6361,A61,A75,2,A93,A101
660,660,A13,12,A32,A43,1297,A61,A73,3,A94,A101
661,661,A11,12,A32,A40,900,A65,A73,4,A94,A101
662,662,A14,21,A32,A42,2241,A61,A75,4,A93,A101
663,663,A12,6,A33,A42,1050,A61,A71,4,A93,A101
664,664,A13,6,A34,A46,1047,A61,A73,2,A92,A101
665,665,A14,24,A34,A410,6314,A61,A71,4,A93,A102
666,666,A12,30,A31,A42,3496,A64,A73,4,A93,A101
667,667,A14,48,A31,A49,3609,A61,A73,1,A92,A101
668,668,A11,12,A34,A40,4843,A61,A75,3,A93,A102
669,669,A13,30,A34,A43,3017,A61,A75,4,A93,A101
670,670,A14,24,A34,A49,4139,A62,A73,3,A93,A101
671,671,A14,36,A32,A49,5742,A62,A74,2,A93,A101
672,672,A14,60,A32,A40,10366,A61,A75,2,A93,A101
673,673,A14,6,A34,A40,2080,A63,A73,1,A94,A101
674,674,A14,21,A33,A49,2580,A63,A72,4,A93,A101
675,675,A14,30,A34,A43,4530,A61,A74,4,A92,A101
676,676,A14,24,A34,A42,5150,A61,A75,4,A93,A101
677,677,A12,72,A32,A43,5595,A62,A73,2,A94,A101
678,678,A11,24,A32,A43,2384,A61,A75,4,A93,A101
679,679,A14,18,A32,A43,1453,A61,A72,3,A92,A101
680,680,A14,6,A32,A46,1538,A61,A72,1,A92,A101
681,681,A14,12,A32,A43,2279,A65,A73,4,A93,A101
682,682,A14,15,A33,A43,1478,A61,A73,4,A94,A101
683,683,A14,24,A34,A43,5103,A61,A72,3,A94,A101
684,684,A12,36,A33,A49,9857,A62,A74,1,A93,A101
685,685,A14,60,A32,A40,6527,A65,A73,4,A93,A101
686,686,A13,10,A34,A43,1347,A65,A74,4,A93,A101
687,687,A12,36,A33,A40,2862,A62,A75,4,A93,A101
688,688,A14,9,A32,A43,2753,A62,A75,3,A93,A102
689,689,A11,12,A32,A40,3651,A64,A73,1,A93,A101
690,690,A11,15,A34,A42,975,A61,A73,2,A91,A101
691,691,A12,15,A32,A45,2631,A62,A73,3,A92,A101
692,692,A12,24,A32,A43,2896,A62,A72,2,A93,A101
693,693,A11,6,A34,A40,4716,A65,A72,1,A93,A101
694,694,A14,24,A32,A43,2284,A61,A74,4,A93,A101
695,695,A14,6,A32,A41,1236,A63,A73,2,A93,A101
696,696,A12,12,A32,A43,1103,A61,A74,4,A93,A103
697,697,A14,12,A34,A40,926,A61,A71,1,A92,A101
698,698,A14,18,A34,A43,1800,A61,A73,4,A93,A101
699,699,A13,15,A32,A46,1905,A61,A75,4,A93,A101
700,700,A14,12,A32,A42,1123,A63,A73,4,A92,A101
701,701,A11,48,A34,A41,6331,A61,A75,4,A93,A101
702,702,A13,24,A32,A43,1377,A62,A75,4,A92,A101
703,703,A12,30,A33,A49,2503,A62,A75,4,A93,A101
704,704,A12,27,A32,A49,2528,A61,A72,4,A92,A101
705,705,A14,15,A32,A40,5324,A63,A75,1,A92,A101
706,706,A12,48,A32,A40,6560,A62,A74,3,A93,A101
707,707,A12,12,A30,A42,2969,A61,A72,4,A92,A101
708,708,A12,9,A32,A43,1206,A61,A75,4,A92,A101
709,709,A12,9,A32,A43,2118,A61,A73,2,A93,A101
710,710,A14,18,A34,A43,629,A63,A75,4,A93,A101
711,711,A11,6,A31,A46,1198,A61,A75,4,A92,A101
712,712,A14,21,A32,A41,2476,A65,A75,4,A93,A101
713,713,A11,9,A34,A43,1138,A61,A73,4,A93,A101
714,714,A12,60,A32,A40,14027,A61,A74,4,A93,A101
715,715,A14,30,A34,A41,7596,A65,A75,1,A93,A101
716,716,A14,30,A34,A43,3077,A65,A75,3,A93,A101
717,717,A14,18,A32,A43,1505,A61,A73,4,A93,A101
718,718,A13,24,A34,A43,3148,A65,A73,3,A93,A101
719,719,A12,20,A30,A41,6148,A62,A75,3,A94,A101
720,720,A13,9,A30,A43,1337,A61,A72,4,A93,A101
721,721,A12,6,A31,A46,433,A64,A72,4,A92,A101
722,722,A11,12,A32,A40,1228,A61,A73,4,A92,A101
723,723,A12,9,A32,A43,790,A63,A73,4,A92,A101
724,724,A14,27,A32,A40,2570,A61,A73,3,A92,A101
725,725,A14,6,A34,A40,250,A64,A73,2,A92,A101
726,726,A14,15,A34,A43,1316,A63,A73,2,A94,A101
727,727,A11,18,A32,A43,1882,A61,A73,4,A92,A101
728,728,A12,48,A31,A49,6416,A61,A75,4,A92,A101
729,729,A13,24,A34,A49,1275,A64,A73,2,A91,A101
730,730,A12,24,A33,A43,6403,A61,A72,1,A93,A101
731,731,A11,24,A32,A43,1987,A61,A73,2,A93,A101
732,732,A12,8,A32,A43,760,A61,A74,4,A92,A103
733,733,A14,24,A32,A41,2603,A64,A73,2,A92,A101
734,734,A14,4,A34,A40,3380,A61,A74,1,A92,A101
735,735,A12,36,A31,A44,3990,A65,A72,3,A92,A101
736,736,A12,24,A32,A41,11560,A61,A73,1,A92,A101
737,737,A11,18,A32,A40,4380,A62,A73,3,A93,A101
738,738,A14,6,A34,A40,6761,A61,A74,1,A93,A101
739,739,A12,30,A30,A49,4280,A62,A73,4,A92,A101
740,740,A11,24,A31,A40,2325,A62,A74,2,A93,A101
741,741,A12,10,A31,A43,1048,A61,A73,4,A93,A101
742,742,A14,21,A32,A43,3160,A65,A75,4,A93,A101
743,743,A11,24,A31,A42,2483,A63,A73,4,A93,A101
744,744,A11,39,A34,A42,14179,A65,A74,4,A93,A101
745,745,A11,13,A34,A49,1797,A61,A72,3,A93,A101
746,746,A11,15,A32,A40,2511,A61,A71,1,A92,A101
747,747,A11,12,A32,A40,1274,A61,A72,3,A92,A101
748,748,A14,21,A32,A41,5248,A65,A73,1,A93,A101
749,749,A14,15,A32,A41,3029,A61,A74,2,A93,A101
750,750,A11,6,A32,A42,428,A61,A75,2,A92,A101
751,751,A11,18,A32,A40,976,A61,A72,1,A92,A101
752,752,A12,12,A32,A49,841,A62,A74,2,A92,A101
753,753,A14,30,A34,A43,5771,A61,A74,4,A92,A101
754,754,A14,12,A33,A45,1555,A64,A75,4,A93,A101
755,755,A11,24,A32,A40,1285,A65,A74,4,A92,A101
756,756,A13,6,A34,A40,1299,A61,A73,1,A93,A101
757,757,A13,15,A34,A43,1271,A65,A73,3,A93,A101
758,758,A14,24,A32,A40,1393,A61,A73,2,A93,A103
759,759,A11,12,A34,A40,691,A61,A75,4,A93,A101
760,760,A14,15,A34,A40,5045,A65,A75,1,A92,A101
761,761,A11,18,A34,A42,2124,A61,A73,4,A92,A101
762,762,A11,12,A32,A43,2214,A61,A73,4,A93,A101
763,763,A14,21,A34,A40,12680,A65,A75,4,A93,A101
764,764,A14,24,A34,A40,2463,A62,A74,4,A94,A101
765,765,A12,12,A32,A43,1155,A61,A75,3,A94,A103
766,766,A11,30,A32,A42,3108,A61,A72,2,A91,A101
767,767,A14,10,A32,A41,2901,A65,A72,1,A92,A101
768,768,A12,12,A34,A42,3617,A61,A75,1,A93,A101
769,769,A14,12,A34,A43,1655,A61,A75,2,A93,A101
770,770,A11,24,A32,A41,2812,A65,A75,2,A92,A101
771,771,A11,36,A34,A46,8065,A61,A73,3,A92,A101
772,772,A14,21,A34,A41,3275,A61,A75,1,A93,A101
773,773,A14,24,A34,A43,2223,A62,A75,4,A93,A101
774,774,A13,12,A34,A40,1480,A63,A71,2,A93,A101
775,775,A11,24,A32,A40,1371,A65,A73,4,A92,A101
776,776,A14,36,A34,A40,3535,A61,A74,4,A93,A101
777,777,A11,18,A32,A43,3509,A61,A74,4,A92,A103
778,778,A14,36,A34,A41,5711,A64,A75,4,A93,A101
779,779,A12,18,A32,A45,3872,A61,A71,2,A92,A101
780,780,A12,39,A34,A43,4933,A61,A74,2,A93,A103
781,781,A14,24,A34,A40,1940,A64,A75,4,A93,A101
782,782,A12,12,A30,A48,1410,A61,A73,2,A93,A101
783,783,A12,12,A32,A40,836,A62,A72,4,A92,A101
784,784,A12,20,A32,A41,6468,A65,A71,1,A91,A101
785,785,A12,18,A32,A49,1941,A64,A73,4,A93,A101
786,786,A14,22,A32,A43,2675,A63,A75,3,A93,A101
787,787,A14,48,A34,A41,2751,A65,A75,4,A93,A101
788,788,A12,48,A33,A46,6224,A61,A75,4,A93,A101
789,789,A11,40,A34,A46,5998,A61,A73,4,A93,A101
790,790,A12,21,A32,A49,1188,A61,A75,2,A92,A101
791,791,A14,24,A32,A41,6313,A65,A75,3,A93,A101
792,792,A14,6,A34,A42,1221,A65,A73,1,A94,A101
793,793,A13,24,A32,A42,2892,A61,A75,3,A91,A101
794,794,A14,24,A32,A42,3062,A63,A75,4,A93,A101
795,795,A14,9,A32,A42,2301,A62,A72,2,A92,A101
796,796,A11,18,A32,A41,7511,A65,A75,1,A93,A101
797,797,A14,12,A34,A42,1258,A61,A72,2,A92,A101
798,798,A14,24,A33,A40,717,A65,A75,4,A94,A101
799,799,A12,9,A32,A40,1549,A65,A72,4,A93,A101
800,800,A14,24,A34,A46,1597,A61,A75,4,A93,A101
801,801,A12,18,A34,A43,1795,A61,A75,3,A92,A103
802,802,A11,20,A34,A42,4272,A61,A75,1,A92,A101
803,803,A14,12,A34,A43,976,A65,A75,4,A93,A101
804,804,A12,12,A32,A40,7472,A65,A71,1,A92,A101
805,805,A11,36,A32,A40,9271,A61,A74,2,A93,A101
806,806,A12,6,A32,A43,590,A61,A72,3,A94,A101
807,807,A14,12,A34,A43,930,A65,A75,4,A93,A101
808,808,A12,42,A31,A41,9283,A61,A71,1,A93,A101
809,809,A12,15,A30,A40,1778,A61,A72,2,A92,A101
810,810,A12,8,A32,A49,907,A61,A72,3,A94,A101
811,811,A12,6,A32,A43,484,A61,A74,3,A94,A103
812,812,A11,36,A34,A41,9629,A61,A74,4,A93,A101
813,813,A11,48,A32,A44,3051,A61,A73,3,A93,A101
814,814,A11,48,A32,A40,3931,A61,A74,4,A93,A101
815,815,A12,36,A33,A40,7432,A61,A73,2,A92,A101
816,816,A14,6,A32,A44,1338,A63,A73,1,A91,A101
817,817,A14,6,A34,A43,1554,A61,A74,1,A92,A101
818,818,A11,36,A32,A410,15857,A61,A71,2,A91,A102
819,819,A11,18,A32,A43,1345,A61,A73,4,A94,A101
820,820,A14,12,A32,A40,1101,A61,A73,3,A94,A101
821,821,A13,12,A32,A43,3016,A61,A73,3,A94,A101
822,822,A11,36,A32,A42,2712,A61,A75,2,A93,A101
823,823,A11,8,A34,A40,731,A61,A75,4,A93,A101
824,824,A14,18,A34,A42,3780,A61,A72,3,A91,A101
825,825,A11,21,A34,A40,1602,A61,A75,4,A94,A101
826,826,A11,18,A34,A40,3966,A61,A75,1,A92,A101
827,827,A14,18,A30,A49,4165,A61,A73,2,A93,A101
828,828,A11,36,A32,A41,8335,A65,A75,3,A93,A101
829,829,A12,48,A33,A49,6681,A65,A73,4,A93,A101
830,830,A14,24,A33,A49,2375,A63,A73,4,A93,A101
831,831,A11,18,A32,A40,1216,A61,A72,4,A92,A101
832,832,A11,45,A30,A49,11816,A61,A75,2,A93,A101
833,833,A12,24,A32,A43,5084,A65,A75,2,A92,A101
834,834,A13,15,A32,A43,2327,A61,A72,2,A92,A101
835,835,A11,12,A30,A40,1082,A61,A73,4,A93,A101
836,836,A14,12,A32,A43,886,A65,A73,4,A92,A101
837,837,A14,4,A32,A42,601,A61,A72,1,A92,A101
838,838,A11,24,A34,A41,2957,A61,A75,4,A93,A101
839,839,A14,24,A34,A43,2611,A61,A75,4,A94,A102
840,840,A11,36,A32,A42,5179,A61,A74,4,A93,A101
841,841,A14,21,A33,A41,2993,A61,A73,3,A93,A101
842,842,A14,18,A32,A45,1943,A61,A72,4,A92,A101
843,843,A14,24,A31,A49,1559,A61,A74,4,A93,A101
844,844,A14,18,A32,A42,3422,A61,A75,4,A93,A101
845,845,A12,21,A32,A42,3976,A65,A74,2,A93,A101
846,846,A14,18,A32,A40,6761,A65,A73,2,A93,A101
847,847,A14,24,A32,A40,1249,A61,A72,4,A94,A101
848,848,A11,9,A32,A43,1364,A61,A74,3,A93,A101
849,849,A11,12,A32,A43,709,A61,A75,4,A93,A101
850,850,A11,20,A34,A40,2235,A61,A73,4,A94,A103
851,851,A14,24,A34,A41,4042,A65,A74,3,A93,A101
852,852,A14,15,A34,A43,1471,A61,A73,4,A93,A101
853,853,A11,18,A31,A40,1442,A61,A74,4,A93,A101
854,854,A14,36,A33,A40,10875,A61,A75,2,A93,A101
855,855,A14,24,A32,A40,1474,A62,A72,4,A94,A101
856,856,A14,10,A32,A48,894,A65,A74,4,A92,A101
857,857,A14,15,A34,A42,3343,A61,A73,4,A93,A101
858,858,A11,15,A32,A40,3959,A61,A73,3,A92,A101
859,859,A14,9,A32,A40,3577,A62,A73,1,A93,A103
860,860,A14,24,A34,A41,5804,A64,A73,4,A93,A101
861,861,A14,18,A33,A49,2169,A61,A73,4,A94,A101
862,862,A11,24,A32,A43,2439,A61,A72,4,A92,A101
863,863,A14,27,A34,A42,4526,A64,A72,4,A93,A101
864,864,A14,10,A32,A42,2210,A61,A73,2,A93,A101
865,865,A14,15,A32,A42,2221,A63,A73,2,A92,A101
866,866,A11,18,A32,A43,2389,A61,A72,4,A92,A101
867,867,A14,12,A34,A42,3331,A61,A75,2,A93,A101
868,868,A14,36,A32,A49,7409,A65,A75,3,A93,A101
869,869,A11,12,A32,A42,652,A61,A75,4,A92,A101
870,870,A14,36,A33,A42,7678,A63,A74,2,A92,A101
